ItemNum,Description,Fee,DerivedFee
20402,"Initiation of management of anaesthesia for reconstructive procedures on breast, including implant reconstruction and exchange (H) (5 basic units)",115.50,
20403,Initiation of management of anaesthesia for axillary dissection or sentinel node biopsy (H) (5 basic units),115.50,
20404,Initiation of the management of anaesthesia for mastectomy (H) (6 basic units),138.60,
20405,Initiation of the management of anaesthesia for reconstructive procedures on the breast using myocutaneous flaps (H) (8 basic units),184.80,
20406,Initiation of the management of anaesthesia for radical or modified radical procedures on breast with internal mammary node dissection (H) (13 basic units),300.30,
20410,Initiation of the management of anaesthesia for electrical conversion of arrhythmias (H) (4 basic units),92.40,
20420,INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the posterior part of the chest not being a service to which another item in this Subgroup applies (5 basic units),115.50,
20440,INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous bone marrow biopsy of the sternum (4 basic units),92.40,
20450,"Initiation of the management of anaesthesia for procedures on clavicle, scapula or sternum, other than a service to which another item in this Subgroup applies (H) (5 basic units)",115.50,
20452,"Initiation of the management of anaesthesia for radical surgery on clavicle, scapula or sternum (H) (6 basic units)",138.60,
20470,"Initiation of the management of anaesthesia for partial rib resection, other than a service to which another item in this Subgroup applies (H) (6 basic units)",138.60,
20472,Initiation of the management of anaesthesia for thoracoplasty (H) (10 basic units),231.00,
20474,Initiation of the management of anaesthesia for radical procedures on chest wall (H) (13 basic units),300.30,
20475,INITIATION OF MANAGEMENT OF ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior thorax (10 basic units),231.00,
20500,Initiation of the management of anaesthesia for open procedures on the oesophagus (H) (15 basic units),346.50,
20520,"INITIATION OF MANAGEMENT OF ANAESTHESIA for all closed chest procedures (including rigid oesophagoscopy or bronchoscopy), not being a service to which another item in this Subgroup applies (6 basic units)",138.60,
20522,Initiation of the management of anaesthesia for needle biopsy of pleura (H) (4 basic units),92.40,
20524,Initiation of the management of anaesthesia for pneumocentesis (H) (4 basic units),92.40,
20526,Initiation of the management of anaesthesia for thoracoscopy (H) (10 basic units),231.00,
20528,Initiation of the management of anaesthesia for mediastinoscopy (H) (8 basic units),184.80,
20540,"Initiation of the management of anaesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, or mediastinum, other than a service to which another item in this Subgroup applies (H) (13 basic units)",300.30,
20542,Initiation of the management of anaesthesia for pulmonary decortication (H) (15 basic units),346.50,
20546,Initiation of the management of anaesthesia for pulmonary resection with thoracoplasty (H) (15 basic units),346.50,
20548,Initiation of the management of anaesthesia for intrathoracic repair of trauma to trachea and bronchi (H) (15 basic units),346.50,
20560,"Initiation of the management of anaesthesia for: (a) open procedures on the heart, pericardium or great vessels of the chest; or (b) percutaneous insertion of a valvular prosthesis (H) (20 basic units)",462.00,
20600,"Initiation of the management of anaesthesia for procedures on cervical spine or spinal cord, or both, other than a service to which another item in this Subgroup applies (H) (10 basic units)",231.00,
20604,Initiation of the management of anaesthesia for posterior cervical laminectomy with the patient in the sitting position (H) (13 basic units),300.30,
20620,"Initiation of the management of anaesthesia for procedures on thoracic spine or spinal cord, or both, other than a service to which another item in this Subgroup applies (H) (10 basic units)",231.00,
20622,Initiation of the management of anaesthesia for thoracolumbar sympathectomy (H) (13 basic units),300.30,
20630,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures in lumbar region, not being a service to which another item in this Subgroup applies (8 basic units)",184.80,
20632,Initiation of the management of anaesthesia for lumbar sympathectomy (H) (7 basic units),161.70,
20634,Initiation of the management of anaesthesia for chemonucleolysis (H) (10 basic units),231.00,
20670,"Initiation of the management of anaesthesia for extensive spine or spinal cord procedures, or both (H) (13 basic units)",300.30,
20680,Initiation of the management of anaesthesia for manipulation of spine when performed in the operating theatre of a hospital (H) (3 basic units),69.30,
20690,"Initiation of the management of anaesthesia for percutaneous spinal procedures, other than a service to which another item in this Subgroup applies (H) (5 basic units)",115.50,
20700,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the upper anterior abdominal wall, not being a service to which another item in this Subgroup applies (3 basic units)",69.30,
20702,INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous liver biopsy (4 basic units),92.40,
20703,"INITIATION OF MANAGEMENT OF ANAESTHESIA for all procedures on the nerves, muscles, tendons and fascia of the upper abdominal wall, not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
20704,Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the anterior or posterior upper abdomen (H) (10 basic units),231.00,
20706,"Initiation of the management of anaesthesia for laparoscopic procedures in the upper abdomen, including laparoscopic cholecystectomy, other than a service to which another item in this Subgroup applies (H) (7 basic units)",161.70,
20730,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the upper posterior abdominal wall, not being a service to which another item in this Subgroup applies (5 basic units)",115.50,
20740,Initiation of the management of anaesthesia for upper gastrointestinal endoscopic procedures (H) (5 basic units),115.50,
20745,Initiation of the management of anaesthesia for any of the following: (a) upper gastrointestinal endoscopic procedures in association with acute gastrointestinal haemorrhage; (b) endoscopic retrograde cholangiopancreatography; (c) upper gastrointestinal endoscopic ultrasound; (d) percutaneous endoscopic gastrostomy; (e) upper gastrointestinal endoscopic mucosal resection of tumour (H) (7 basic units),161.70,
20750,"Initiation of the management of anaesthesia for hernia repairs to the upper abdominal wall, other than a service to which another item in this Subgroup applies. (5 basic units)",115.50,
20752,"Initiation of the management of anaesthesia for repair of incisional hernia or wound dehiscence, or both (H) (6 basic units)",138.60,
20754,Initiation of the management of anaesthesia for procedures on an omphalocele (H) (7 basic units),161.70,
20756,Initiation of the management of anaesthesia for transabdominal repair of diaphragmatic hernia (H) (9 basic units),207.90,
20770,Initiation of the management of anaesthesia for procedures on major upper abdominal blood vessels (H) (15 basic units),346.50,
20790,"Initiation of the management of anaesthesia for procedures within the peritoneal cavity in the upper abdomen, including any of the following: (a) open cholecystectomy; (b) gastrectomy; (c) laparoscopic assisted nephrectomy; (d) bowel shunts (H) (8 basic units)",184.80,
20791,Initiation of the management of anaesthesia for bariatric surgery in a patient with clinically severe obesity (H) (10 basic units),231.00,
20792,Initiation of the management of anaesthesia for partial hepatectomy (excluding liver biopsy) (H) (13 basic units),300.30,
20793,Initiation of the management of anaesthesia for extended or trisegmental hepatectomy (H) (15 basic units),346.50,
20794,"Initiation of the management of anaesthesia for pancreatectomy, partial or total (H) (12 basic units)",277.20,
20798,Initiation of the management of anaesthesia for neuro endocrine tumour removal in the upper abdomen (H) (10 basic units),231.00,
20799,INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous procedures on an intra-abdominal organ in the upper abdomen (6 basic units),138.60,
20800,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the lower anterior abdominal walls, not being a service to which another item in this Subgroup applies (3 basic units)",69.30,
20802,INITIATION OF MANAGEMENT OF ANAESTHESIA for lipectomy of the lower abdomen (5 basic units),115.50,
20803,"INITIATION OF MANAGEMENT OF ANAESTHESIA for all procedures on the nerves, muscles, tendons and fascia of the lower abdominal wall, not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
20804,INITIATION OF MANAGEMENT OF ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior lower abdomen (10 basic units),231.00,
20806,Initiation of the management of anaesthesia for laparoscopic procedures in the lower abdomen (H) (7 basic units),161.70,
20810,Initiation of the management of anaesthesia for lower intestinal endoscopic procedures (H) (4 basic units),92.40,
20815,INITIATION OF MANAGEMENT OF ANAESTHESIA for extracorporeal shock wave lithotripsy to urinary tract (6 basic units),138.60,
20820,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin, its derivatives or subcutaneous tissue of the lower posterior abdominal wall (5 basic units)",115.50,
20830,"Initiation of the management of anaesthesia for hernia repairs in lower abdomen, other than a service to which another item in this Subgroup applies (H) (4 basic units)",92.40,
20832,INITIATION OF MANAGEMENT OF ANAESTHESIA for repair of incisional herniae and/or wound dehiscence of the lower abdomen (6 basic units),138.60,
20840,"Initiation of the management of anaesthesia for all open procedures within the peritoneal cavity in the lower abdomen, including appendicectomy, other than a service to which another item in this Subgroup applies (H) (6 basic units)",138.60,
20841,"Initiation of the management of anaesthesia for bowel resection, including laparoscopic bowel resection, other than a service to which another item in this Subgroup applies (H) (8 basic units)",184.80,
20842,INITIATION OF MANAGEMENT OF ANAESTHESIA for amniocentesis (4 basic units),92.40,
20844,"Initiation of the management of anaesthesia for abdominoperineal resection, including pull through procedures, ultra low anterior resection and formation of bowel reservoir (H) (10 basic units)",231.00,
20845,Initiation of the management of anaesthesia for radical prostatectomy (H) (10 basic units),231.00,
20846,Initiation of the management of anaesthesia for radical hysterectomy (H) (10 basic units),231.00,
20847,Initiation of the management of anaesthesia for ovarian malignancy (H) (10 basic units),231.00,
20848,Initiation of the management of anaesthesia for pelvic exenteration (H) (10 basic units),231.00,
20850,Initiation of the management of anaesthesia for caesarean section (H) (12 basic units),277.20,
20855,Initiation of the management of anaesthesia for caesarean hysterectomy or hysterectomy within 24 hours of birth (H) (15 basic units),346.50,
20860,"Initiation of the management of anaesthesia for extraperitoneal procedures in lower abdomen, including those on the urinary tract, other than a service to which another item in this Subgroup applies (H) (6 basic units)",138.60,
20862,"Initiation of the management of anaesthesia for renal procedures, including upper one‑third of ureter (H) (7 basic units)",161.70,
20863,Initiation of the management of anaesthesia for nephrectomy (H) (10 basic units),231.00,
20864,Initiation of the management of anaesthesia for total cystectomy (H) (10 basic units),231.00,
20866,Initiation of the management of anaesthesia for adrenalectomy (H) (10 basic units),231.00,
20867,Initiation of the management of anaesthesia for neuro endocrine tumour removal in the lower abdomen (H) (10 basic units),231.00,
20868,Initiation of the management of anaesthesia for renal transplantation (donor or recipient) (H) (10 basic units),231.00,
20880,"Initiation of the management of anaesthesia for procedures on major lower abdominal vessels, other than a service to which another item in this Subgroup applies (H) (15 basic units)",346.50,
20882,Initiation of the management of anaesthesia for inferior vena cava ligation (H) (10 basic units),231.00,
20884,Initiation of the management of anaesthesia for percutaneous umbrella insertion (H) (5 basic units),115.50,
20886,INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous procedures on an intra-abdominal organ in the lower abdomen (6 basic units),138.60,
20900,INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the perineum not being a service to which another item in this Subgroup applies (3 basic units),69.30,
20902,"Initiation of the management of anaesthesia for anorectal procedures (including surgical haemorrhoidectomy, but not banding of haemorrhoids) (H) (4 basic units)",92.40,
20904,"Initiation of the management of anaesthesia for radical perineal procedures, including radical perineal prostatectomy or radical vulvectomy (H) (7 basic units)",161.70,
20905,Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the perineum (H) (10 basic units),231.00,
20906,Initiation of the management of anaesthesia for vulvectomy (H) (4 basic units),92.40,
20910,"INITIATION OF MANAGEMENT OF ANAESTHESIA for transurethral procedures (including urethrocystoscopy), not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
20911,Initiation of the management of anaesthesia for endoscopic ureteroscopic surgery including laser procedures (H) (5 basic units),115.50,
20912,Initiation of the management of anaesthesia for transurethral resection of bladder tumour or tumours (H) (5 basic units),115.50,
20914,Initiation of the management of anaesthesia for transurethral resection of prostate (H) (7 basic units),161.70,
20916,Initiation of the management of anaesthesia for bleeding post-transurethral resection (H) (7 basic units),161.70,
20920,"Initiation of management of anaesthesia for procedures on external genitalia, not being a service to which another item in this Subgroup applies. (4 basic units)",92.40,
20924,"Initiation of the management of anaesthesia for procedures on undescended testis, unilateral or bilateral (H) (4 basic units)",92.40,
20926,"Initiation of the management of anaesthesia for radical orchidectomy, inguinal approach (H) (4 basic units)",92.40,
20928,"Initiation of the management of anaesthesia for radical orchidectomy, abdominal approach (H) (6 basic units)",138.60,
20930,"Initiation of the management of anaesthesia for orchiopexy, unilateral or bilateral (H) (4 basic units)",92.40,
20932,Initiation of the management of anaesthesia for complete amputation of penis (H) (4 basic units),92.40,
20934,Initiation of the management of anaesthesia for complete amputation of penis with bilateral inguinal lymphadenectomy (H) (6 basic units),138.60,
20936,Initiation of the management of anaesthesia for complete amputation of penis with bilateral inguinal and iliac lymphadenectomy (H) (8 basic units),184.80,
20938,Initiation of the management of anaesthesia for insertion of penile prosthesis (H) (4 basic units),92.40,
20940,"INITIATION OF MANAGEMENT OF ANAESTHESIA for per vagina and vaginal procedures (including biopsy of vagina, cervix or endometrium), not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
20942,Initiation of the management of anaesthesia for vaginal procedures (including repair operations and urinary incontinence procedures) (H) (5 basic units),115.50,
20943,INITIATION OF MANAGEMENT OF ANAESTHESIA for transvaginal assisted reproductive services (4 basic units),92.40,
20944,Initiation of the management of anaesthesia for vaginal hysterectomy (H) (6 basic units),138.60,
20946,INITIATION OF MANAGEMENT OF ANAESTHESIA for vaginal birth (8 basic units),184.80,
20948,"INITIATION OF MANAGEMENT OF ANAESTHESIA for purse string ligation of cervix, or removal of purse string ligature (4 basic units)",92.40,
20950,INITIATION OF MANAGEMENT OF ANAESTHESIA for culdoscopy (5 basic units),115.50,
20952,INITIATION OF MANAGEMENT OF ANAESTHESIA for hysteroscopy (4 basic units),92.40,
20954,Initiation of the management of anaesthesia for correction of inverted uterus (H) (10 basic units),231.00,
20956,"INITIATION OF MANAGEMENT OF ANAESTHESIA for evacuation of retained products of conception, as a complication of confinement (4 basic units)",92.40,
20958,INITIATION OF MANAGEMENT OF ANAESTHESIA for manual removal of retained placenta or for repair of vaginal or perineal tear following birth (5 basic units),115.50,
20960,"Initiation of the management of anaesthesia for vaginal procedures in the management of post-partum haemorrhage, if the blood loss isgreater than 500 ml (H) (7 basic units)",161.70,
21100,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the anterior pelvic region (anterior to iliac crest), except external genitalia (3 basic units)",69.30,
21110,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin, its derivatives or subcutaneous tissue of the pelvic region (posterior to iliac crest), except perineum (5 basic units)",115.50,
21112,INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous bone marrow biopsy of the anterior iliac crest (4 basic units),92.40,
21114,INITIATION OF MANAGEMENT OF ANAESTHESIA for percutaneous bone marrow biopsy of the posterior iliac crest (5 basic units),115.50,
21116,Initiation of the management of anaesthesia for percutaneous bone marrow harvesting from the pelvis (H) (6 basic units),138.60,
21120,Initiation of the management of anaesthesia for procedures on the bony pelvis (H) (6 basic units),138.60,
21130,"Initiation of the management of anaesthesia for body cast application or revision, when performed in the operating theatre of a hospital (H) (3 basic units)",69.30,
21140,Initiation of the management of anaesthesia for interpelviabdominal (hindquarter) amputation (H) (15 basic units),346.50,
21150,"Initiation of the management of anaesthesia for radical procedures for tumour of the pelvis, except hindquarter amputation (H) (10 basic units)",231.00,
21155,Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the anterior or posterior pelvis (H) (10 basic units),231.00,
21160,"Initiation of the management of anaesthesia for closed procedures involving symphysis pubis or sacroiliac joint, when performed in the operating theatre of a hospital (H) (4 basic units)",92.40,
21170,Initiation of the management of anaesthesia for open procedures involving symphysis pubis or sacroiliac joint (H) (8 basic units),184.80,
21195,INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the upper leg (3 basic units),69.30,
21199,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on nerves, muscles, tendons, fascia or bursae of the upper leg (4 basic units)",92.40,
21200,"Initiation of the management of anaesthesia for closed procedures involving hip joint, when performed in the operating theatre of a hospital (H) (4 basic units)",92.40,
21202,Initiation of the management of anaesthesia for arthroscopic procedures of the hip joint (H) (4 basic units),92.40,
21210,"Initiation of the management of anaesthesia for open procedures involving hip joint, other than a service to which another item in this Subgroup applies (H) (6 basic units)",138.60,
21212,Initiation of the management of anaesthesia for hip disarticulation (H) (10 basic units),231.00,
21214,Initiation of management of anaesthesia for primary total hip replacement. (H) (10 basic units),231.00,
21215,Initiation of management of anaesthesia for revision total hip replacement (H) (15 basic units),346.50,
21216,Initiation of the management of anaesthesia for bilateral total hip replacement (H) (14 basic units),323.40,
21220,"Initiation of the management of anaesthesia for closed procedures involving upper two-thirds of femur, when performed in the operating theatre of a hospital (H) (4 basic units)",92.40,
21230,"Initiation of the management of anaesthesia for open procedures involving upper two-thirds of femur, other than a service to which another item in this Subgroup applies (H) (6 basic units)",138.60,
21232,Initiation of the management of anaesthesia for above knee amputation (H) (5 basic units),115.50,
21234,Initiation of the management of anaesthesia for radical resection of the upper two‑thirds of femur (H) (8 basic units),184.80,
21260,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures involving veins of upper leg, including exploration (4 basic units)",92.40,
21270,"Initiation of the management of anaesthesia for procedures involving arteries of upper leg, including bypass graft, other than a service to which another item in this Subgroup applies (H) (8 basic units)",184.80,
21272,Initiation of the management of anaesthesia for femoral artery ligation (H) (4 basic units),92.40,
21274,Initiation of the management of anaesthesia for femoral artery embolectomy (H) (6 basic units),138.60,
21275,Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the upper leg (H) (10 basic units),231.00,
21280,Initiation of the management of anaesthesia for microsurgical reimplantation of upper leg (H) (15 basic units),346.50,
21300,INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the knee and/or popliteal area (3 basic units),69.30,
21321,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on nerves, muscles, tendons, fascia or bursae of knee and/or popliteal area (4 basic units)",92.40,
21340,"Initiation of the management of anaesthesia for closed procedures on lower one‑third of femur, when performed in the operating theatre of a hospital (H) (4 basic units)",92.40,
21360,Initiation of the management of anaesthesia for open procedures on lower one‑third of femur (H) (5 basic units),115.50,
21380,Initiation of the management of anaesthesia for closed procedures on knee joint when performed in the operating theatre of a hospital (H) (3 basic units),69.30,
21382,Initiation of the management of anaesthesia for arthroscopic procedures of knee joint (H) (4 basic units),92.40,
21390,"Initiation of the management of anaesthesia for closed procedures on upper ends of tibia, fibula or patella, or any of them, when performed in the operating theatre of a hospital (H) (3 basic units)",69.30,
21392,"Initiation of the management of anaesthesia for open procedures on upper ends of tibia, fibula or patella, or any of them (H) (4 basic units)",92.40,
21400,"Initiation of the management of anaesthesia for open procedures on knee joint, other than a service to which another item in this Subgroup applies (H) (4 basic units)",92.40,
21402,Initiation of the management of anaesthesia for knee replacement (H) (7 basic units),161.70,
21403,Initiation of the management of anaesthesia for bilateral knee replacement (H) (10 basic units),231.00,
21404,Initiation of the management of anaesthesia for disarticulation of knee (H) (5 basic units),115.50,
21420,"Initiation of the management of anaesthesia for cast application, removal or repair, involving knee joint, undertaken in a hospital (H) (3 basic units)",69.30,
21430,"Initiation of the management of anaesthesia for procedures on veins of knee or popliteal area, other than a service to which another item in this Subgroup applies (H) (4 basic units)",92.40,
21432,Initiation of the management of anaesthesia for repair of arteriovenous fistula of knee or popliteal area (H) (5 basic units),115.50,
21440,"Initiation of the management of anaesthesia for procedures on arteries of knee or popliteal area, other than a service to which another item in this Subgroup applies (H) (8 basic units)",184.80,
21445,Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the knee or popliteal area (H) (10 basic units),231.00,
21460,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of lower leg, ankle, or foot (3 basic units)",69.30,
21461,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on nerves, muscles, tendons, or fascia of lower leg, ankle, or foot, not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
21462,"INITIATION OF MANAGEMENT OF ANAESTHESIA for closed procedures on lower leg, ankle, or foot (3 basic units)",69.30,
21464,Initiation of the management of anaesthesia for arthroscopic procedure of ankle joint (H) (4 basic units),92.40,
21472,Initiation of the management of anaesthesia for repair of Achilles tendon (H) (5 basic units),115.50,
21474,Initiation of the management of anaesthesia for gastrocnemius recession (H) (5 basic units),115.50,
21480,"Initiation of the management of anaesthesia for open procedures on bones of lower leg, ankle or foot, including amputation, other than a service to which another item in this Subgroup applies (H) (4 basic units)",92.40,
21482,"Initiation of the management of anaesthesia for radical resection of bone involving lower leg, ankle or foot (H) (5 basic units)",115.50,
21484,Initiation of the management of anaesthesia for osteotomy or osteoplasty of tibia or fibula (H) (5 basic units),115.50,
21486,Initiation of the management of anaesthesia for total ankle replacement (H) (7 basic units),161.70,
21490,"Initiation of the management of anaesthesia for lower leg cast application, removal or repair, undertaken in a hospital (H) (3 basic units)",69.30,
21500,"Initiation of the management of anaesthesia for procedures on arteries of lower leg, including bypass graft, other than a service to which another item in this Subgroup applies (H) (8 basic units)",184.80,
21502,Initiation of the management of anaesthesia for embolectomy of the lower leg (H) (6 basic units),138.60,
21520,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on veins of lower leg, not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
21522,Initiation of the management of anaesthesia for venous thrombectomy of the lower leg (H) (5 basic units),115.50,
21530,"Initiation of the management of anaesthesia for microsurgical reimplantation of lower leg, ankle or foot (H) (15 basic units)",346.50,
21532,Initiation of the management of anaesthesia for microsurgical reimplantation of toe (H) (8 basic units),184.80,
21535,Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the lower leg (H) (10 basic units),231.00,
21600,INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the shoulder or axilla (3 basic units),69.30,
21610,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on nerves, muscles, tendons, fascia or bursae of shoulder or axilla including axillary dissection (5 basic units)",115.50,
21620,"Initiation of the management of anaesthesia for closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint or shoulder joint, when performed in the operating theatre of a hospital (H) (4 basic units)",92.40,
21622,Initiation of the management of anaesthesia for arthroscopic procedures of shoulder joint (H) (5 basic units),115.50,
21630,"Initiation of the management of anaesthesia for open procedures on humeral head and neck, sternoclavicular joint, acromioclavicular jointor shoulder joint, other than a service to which another item in this Subgroup applies (H) (5 basic units)",115.50,
21632,"Initiation of the management of anaesthesia for radical resection involving humeral head and neck, sternoclavicular joint, acromioclavicular joint or shoulder joint (H) (6 basic units)",138.60,
21634,Initiation of the management of anaesthesia for shoulder disarticulation (H) (9 basic units),207.90,
21636,Initiation of the management of anaesthesia for interthoracoscapular (forequarter) amputation (H) (15 basic units),346.50,
21638,Initiation of the management of anaesthesia for total shoulder replacement (H) (10 basic units),231.00,
21650,"Initiation of the management of anaesthesia for procedures on arteries of shoulder or axilla, other than a service to which another item in this Subgroup applies (H) (8 basic units)",184.80,
21652,Initiation of the management of anaesthesia for procedures for axillary‑brachial aneurysm (H) (10 basic units),231.00,
21654,Initiation of the management of anaesthesia for bypass graft of arteries of shoulder or axilla (H) (8 basic units),184.80,
21656,Initiation of the management of anaesthesia for axillary‑femoral bypass graft (H) (10 basic units),231.00,
21670,Initiation of the management of anaesthesia for procedures on veins of shoulder or axilla (H) (4 basic units),92.40,
21680,"Initiation of the management of anaesthesia for shoulder cast application, removal or repair, other than a service to which another item in this Subgroup applies, when undertaken in a hospital (H) (3 basic units)",69.30,
21682,"Initiation of the management of anaesthesia for shoulder spica application, when undertaken in a hospital (H) (4 basic units)",92.40,
21685,Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the shoulder or the axilla (H) (10 basic units),231.00,
21700,INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the upper arm or elbow (3 basic units),69.30,
21710,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on nerves, muscles, tendons, fascia or bursae of upper arm or elbow, not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
21712,Initiation of the management of anaesthesia for open tenotomy of the upper arm or elbow (H) (5 basic units),115.50,
21714,Initiation of the management of anaesthesia for tenoplasty of the upper arm or elbow (H) (5 basic units),115.50,
21716,Initiation of the management of anaesthesia for tenodesis for rupture of long tendon of biceps (H) (5 basic units),115.50,
21730,"Initiation of the management of anaesthesia for closed procedures on the upper arm or elbow, when performed in the operating theatre of a hospital (H) (3 basic units)",69.30,
21732,Initiation of the management of anaesthesia for arthroscopic procedures of elbow joint (H) (4 basic units),92.40,
21740,"INITIATION OF MANAGEMENT OF ANAESTHESIA for open procedures on the upper arm or elbow, not being a service to which another item in this Subgroup applies (5 basic units)",115.50,
21756,Initiation of the management of anaesthesia for radical procedures on the upper arm or elbow (H) (6 basic units),138.60,
21760,Initiation of the management of anaesthesia for total elbow replacement (H) (7 basic units),161.70,
21770,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on arteries of upper arm, not being a service to which another item in this Subgroup applies (8 basic units)",184.80,
21772,Initiation of the management of anaesthesia for embolectomy of arteries of the upper arm (H) (6 basic units),138.60,
21780,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on veins of upper arm, not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
21785,Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the upper arm or elbow (H) (10 basic units),231.00,
21790,Initiation of the management of anaesthesia for microsurgical reimplantation of upper arm (H) (15 basic units),346.50,
21800,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin or subcutaneous tissue of the forearm, wrist or hand (3 basic units)",69.30,
21810,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the nerves, muscles, tendons, fascia, or bursae of the forearm, wrist or hand (4 basic units)",92.40,
21820,"Initiation of the management of anaesthesia for closed procedures on the radius, ulna, wrist, or hand bones, when performed in the operating theatre of a hospital (H) (3 basic units)",69.30,
21830,"Initiation of the management of anaesthesia for open procedures on the radius, ulna, wrist, or hand bones, other than a service to which another item in this Subgroup applies (4 basic units)",92.40,
21832,Initiation of the management of anaesthesia for total wrist replacement (H) (7 basic units),161.70,
21834,Initiation of the management of anaesthesia for arthroscopic procedures of the wrist joint (H) (4 basic units),92.40,
21840,"Initiation of the management of anaesthesia for procedures on the arteries of forearm, wrist or hand, other than a service to which another item in this Subgroup applies (H) (8 basic units)",184.80,
21842,"Initiation of the management of anaesthesia for embolectomy of artery of forearm, wrist or hand (H) (6 basic units)",138.60,
21850,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the veins of forearm, wrist or hand, not being a service to which another item in this Subgroup applies (4 basic units)",92.40,
21860,"Initiation of the management of anaesthesia for forearm, wrist, or hand cast application, removal or repair, when undertaken in a hospital (H) (3 basic units)",69.30,
21865,"Initiation of the management of anaesthesia for microvascular free tissue flap surgery involving the forearm, wrist or hand (H) (10 basic units)",231.00,
21870,"Initiation of the management of anaesthesia for microsurgical reimplantation of forearm, wrist or hand (H) (15 basic units)",346.50,
21872,Initiation of the management of anaesthesia for microsurgical reimplantation of a finger (H) (8 basic units),184.80,
21878,"INITIATION OF MANAGEMENT OF ANAESTHESIA for excision or debridement of burns, with or without skin grafting where the area of burn involves not more than 3% of total body surface (3 basic units)",69.30,
21879,"Initiation of the management of anaesthesia for excision or debridement of burns, with or without skin grafting, if the area of burn involves more than 3% but less than 10% of total body surface (H) (5 basic units)",115.50,
21880,"Initiation of the management of anaesthesia for excision or debridement of burns, with or without skin grafting, if the area of burn involves 10% or more but less than 20% of total body surface (H) (7 basic units)",161.70,
21881,"Initiation of the management of anaesthesia for excision or debridement of burns, with or without skin grafting, if the area of burn involves 20% or more but less than 30% of total body surface (H) (9 basic units)",207.90,
21882,"Initiation of the management of anaesthesia for excision or debridement of burns, with or without skin grafting, if the area of burn involves 30% or more but less than 40% of total body surface (H) (11 basic units)",254.10,
21883,"Initiation of the management of anaesthesia for excision or debridement of burns, with or without skin grafting, if the area of burn involves 40% or more but less than 50% of total body surface (H) (13 basic units)",300.30,
